Time,productcatalogservice,recommendationservice,checkoutservice,paymentservice,cartservice,frontend,adservice,shippingservice,emailservice,currencyservice,Total
2020-12-18 13:57:21,3.0,8.75,,,7.5,100.0,6.666666666666666,,,3.0,128.91666666666669
2020-12-18 13:57:22,3.0,8.75,,,7.5,100.0,6.666666666666666,,,3.0,128.91666666666669
2020-12-18 13:57:23,3.0,8.75,,,7.5,100.0,6.666666666666666,,,3.0,128.91666666666669
2020-12-18 13:57:24,3.0,8.75,,,7.5,100.0,6.666666666666666,,,3.0,128.91666666666669
2020-12-18 13:57:25,3.0,8.75,,,7.5,100.0,7.5,,,3.0,129.75
2020-12-18 13:57:26,3.0,8.75,,,7.5,100.0,7.5,,,3.0,129.75
2020-12-18 13:57:27,3.0,8.75,,,7.5,100.0,7.5,,,3.0,129.75
2020-12-18 13:57:28,3.0,8.75,,,7.5,100.0,7.5,,,3.0,129.75
2020-12-18 13:57:29,3.2857142857142856,8.75,,,7.5,100.0,7.5,,,3.0,130.03571428571428
2020-12-18 13:57:30,3.2857142857142856,8.75,,,7.5,100.0,7.5,,,3.0,130.03571428571428
2020-12-18 13:57:31,3.2857142857142856,8.75,,,7.5,100.0,7.5,,,3.0,130.03571428571428
2020-12-18 13:57:32,3.2857142857142856,10.0,,,4.0,100.0,7.5,,,3.0,127.78571428571428
2020-12-18 13:57:33,3.2857142857142856,10.0,,,4.0,100.0,7.5,,,3.0,127.78571428571428
2020-12-18 13:57:34,3.2857142857142856,10.0,,,4.0,100.0,7.5,,,3.0,127.78571428571428
2020-12-18 13:57:35,3.2857142857142856,10.0,,,4.0,137.5,7.5,,,3.0,165.28571428571428
2020-12-18 13:57:36,3.2857142857142856,10.0,,,4.0,137.5,7.5,,,3.0,165.28571428571428
2020-12-18 13:57:37,3.2857142857142856,10.0,,,4.0,137.5,7.5,,,3.0,165.28571428571428
2020-12-18 13:57:38,3.2857142857142856,10.0,,,4.0,137.5,7.5,,,3.0,165.28571428571428
2020-12-18 13:57:39,3.2857142857142856,10.0,,,4.0,137.5,7.5,,,3.0,165.28571428571428
2020-12-18 13:57:40,3.2857142857142856,10.0,,,4.0,137.5,3.0,,,3.0,160.78571428571428
2020-12-18 13:57:41,3.2857142857142856,10.0,,,4.0,137.5,3.0,,,3.0,160.78571428571428
2020-12-18 13:57:42,3.2857142857142856,10.0,,,4.0,137.5,3.0,,,3.0,160.78571428571428
2020-12-18 13:57:43,3.2857142857142856,10.0,,,4.0,137.5,3.0,,,3.0,160.78571428571428
2020-12-18 13:57:44,0.5,10.0,,,4.0,137.5,3.0,,,3.0,158.0
2020-12-18 13:57:45,0.5,10.0,,,4.0,137.5,3.0,,,3.0,158.0
2020-12-18 13:57:46,0.5,10.0,,,4.0,137.5,3.0,,,3.0,158.0
2020-12-18 13:57:47,0.5,10.0,,,7.5,137.5,3.0,,,3.0,161.5
2020-12-18 13:57:48,0.5,10.0,,,7.5,137.5,3.0,,,3.0,161.5
2020-12-18 13:57:49,0.5,10.0,,,7.5,137.5,3.0,,,3.0,161.5
2020-12-18 13:57:50,0.5,10.0,,,7.5,75.0,3.0,,,3.0,99.0
2020-12-18 13:57:51,0.5,10.0,,,7.5,75.0,3.0,,,3.0,99.0
2020-12-18 13:57:52,0.5,10.0,,,7.5,75.0,3.0,,,3.0,99.0
2020-12-18 13:57:53,0.5,10.0,,,7.5,75.0,3.0,,,3.0,99.0
2020-12-18 13:57:54,0.5,10.0,,,7.5,75.0,3.0,,,3.0,99.0
2020-12-18 13:57:55,0.5,10.0,,,7.5,75.0,7.5,,,3.0,103.5
2020-12-18 13:57:56,0.5,10.0,,,7.5,75.0,7.5,,,3.2222222222222228,103.72222222222223
2020-12-18 13:57:57,0.5,10.0,,,7.5,75.0,7.5,,,3.2222222222222228,103.72222222222223
2020-12-18 13:57:58,0.5,10.0,,,7.5,75.0,7.5,,,3.2222222222222228,103.72222222222223
2020-12-18 13:57:59,0.5,10.0,,,7.5,75.0,7.5,,,3.2222222222222228,103.72222222222223
2020-12-18 13:58:00,0.5,10.0,,,7.5,75.0,7.5,3.0,,3.2222222222222228,106.72222222222223
2020-12-18 13:58:01,0.5,10.0,,,7.5,75.0,7.5,3.0,,3.2222222222222228,106.72222222222223
2020-12-18 13:58:02,0.5,17.5,,,7.5,75.0,7.5,3.0,,3.2222222222222228,114.22222222222223
2020-12-18 13:58:03,0.5,17.5,,,7.5,75.0,7.5,3.0,,3.2222222222222228,114.22222222222223
2020-12-18 13:58:04,0.5,17.5,,,7.5,75.0,7.5,3.0,,3.2222222222222228,114.22222222222223
2020-12-18 13:58:05,0.5,17.5,,,7.5,75.0,7.5,3.0,,3.2222222222222228,114.22222222222223
2020-12-18 13:58:06,0.5,17.5,,,7.5,75.0,7.5,3.0,,3.2222222222222228,114.22222222222223
2020-12-18 13:58:07,0.5,17.5,,,7.5,75.0,7.5,3.0,,3.2222222222222228,114.22222222222223
2020-12-18 13:58:08,0.5,17.5,,,7.5,75.0,7.5,3.0,,3.2222222222222228,114.22222222222223
2020-12-18 13:58:09,0.5,17.5,,,7.5,75.0,7.5,3.0,,3.2222222222222228,114.22222222222223
2020-12-18 13:58:10,0.5,17.5,,,7.5,75.0,5.0,3.0,,3.2222222222222228,111.72222222222223
2020-12-18 13:58:11,0.5,17.5,,3.0,7.5,75.0,5.0,3.0,,3.0,114.5
2020-12-18 13:58:12,0.5,17.5,,3.0,7.5,75.0,5.0,3.0,,3.0,114.5
2020-12-18 13:58:13,0.5,17.5,,3.0,7.5,75.0,5.0,3.0,,3.0,114.5
2020-12-18 13:58:14,2.5714285714285707,17.5,,3.0,7.5,75.0,5.0,3.0,,3.0,116.57142857142857
2020-12-18 13:58:15,2.5714285714285707,17.5,,3.0,7.5,75.0,5.0,3.0000000000000004,,3.0,116.57142857142857
2020-12-18 13:58:16,2.5714285714285707,17.5,,3.0,7.5,75.0,5.0,3.0000000000000004,,3.0,116.57142857142857
2020-12-18 13:58:17,2.5714285714285707,10.0,,3.0,4.5,75.0,5.0,3.0000000000000004,,3.0,106.07142857142857
2020-12-18 13:58:18,2.5714285714285707,10.0,,3.0,4.5,75.0,5.0,3.0000000000000004,,3.0,106.07142857142857
2020-12-18 13:58:19,2.5714285714285707,10.0,,3.0,4.5,75.0,5.0,3.0000000000000004,,3.0,106.07142857142857
2020-12-18 13:58:20,2.5714285714285707,10.0,,3.0,4.5,100.0,5.0,3.0000000000000004,,3.0,131.07142857142858
2020-12-18 13:58:21,2.5714285714285707,10.0,175.0,3.0,4.5,100.0,5.0,3.0000000000000004,,3.0,306.07142857142856
2020-12-18 13:58:22,2.5714285714285707,10.0,175.0,3.0,4.5,100.0,5.0,3.0000000000000004,3.0,3.0,309.07142857142856
2020-12-18 13:58:23,2.5714285714285707,10.0,175.0,3.0,4.5,100.0,5.0,3.0000000000000004,3.0,3.0,309.07142857142856
2020-12-18 13:58:24,2.5714285714285707,10.0,175.0,3.0,4.5,100.0,5.0,3.0000000000000004,3.0,3.0,309.07142857142856
2020-12-18 13:58:25,2.5714285714285707,10.0,175.0,3.0,4.5,100.0,7.5,3.0000000000000004,3.0,3.0,311.57142857142856
2020-12-18 13:58:26,2.5714285714285707,10.0,175.0,,4.5,100.0,7.5,3.0000000000000004,3.0,3.0,308.57142857142856
2020-12-18 13:58:27,2.5714285714285707,10.0,175.0,,4.5,100.0,7.5,3.0000000000000004,3.0,3.0,308.57142857142856
2020-12-18 13:58:28,2.5714285714285707,10.0,175.0,,4.5,100.0,7.5,3.0000000000000004,3.0,3.0,308.57142857142856
2020-12-18 13:58:29,3.1666666666666665,10.0,175.0,,4.5,100.0,7.5,3.0000000000000004,3.0,3.0,309.16666666666663
2020-12-18 13:58:30,3.1666666666666665,10.0,175.0,,4.5,100.0,7.5,3.0,3.0,3.0,309.16666666666663
2020-12-18 13:58:31,3.1666666666666665,10.0,175.0,,4.5,100.0,7.5,3.0,3.0,3.0,309.16666666666663
2020-12-18 13:58:32,3.1666666666666665,37.5,175.0,,17.5,100.0,7.5,3.0,3.0,3.0,349.66666666666663
2020-12-18 13:58:33,3.1666666666666665,37.5,175.0,,17.5,100.0,7.5,3.0,3.0,3.0,349.66666666666663
2020-12-18 13:58:34,3.1666666666666665,37.5,175.0,,17.5,100.0,7.5,3.0,3.0,3.0,349.66666666666663
2020-12-18 13:58:35,3.1666666666666665,37.5,175.0,,17.5,75.0,7.5,3.0,3.0,3.0,324.66666666666663
2020-12-18 13:58:36,3.1666666666666665,37.5,,,17.5,75.0,7.5,3.0,3.0,3.0,149.66666666666666
2020-12-18 13:58:37,3.1666666666666665,37.5,,,17.5,75.0,7.5,3.0,,3.0,146.66666666666666
2020-12-18 13:58:38,3.1666666666666665,37.5,,,17.5,75.0,7.5,3.0,,3.0,146.66666666666666
2020-12-18 13:58:39,3.1666666666666665,37.5,,,17.5,75.0,7.5,3.0,,3.0,146.66666666666666
2020-12-18 13:58:40,3.1666666666666665,37.5,,,17.5,75.0,8.75,3.0,,3.0,147.91666666666666
2020-12-18 13:58:41,3.1666666666666665,37.5,,,17.5,75.0,8.75,3.0,,3.1818181818181817,148.09848484848484
2020-12-18 13:58:42,3.1666666666666665,37.5,,,17.5,75.0,8.75,3.0,,3.1818181818181817,148.09848484848484
2020-12-18 13:58:43,3.1666666666666665,37.5,,,17.5,75.0,8.75,3.0,,3.1818181818181817,148.09848484848484
2020-12-18 13:58:44,3.0,37.5,,,17.5,75.0,8.75,3.0,,3.1818181818181817,147.9318181818182
2020-12-18 13:58:45,3.0,37.5,,,17.5,75.0,8.75,,,3.1818181818181817,144.9318181818182
2020-12-18 13:58:46,3.0,37.5,,,17.5,75.0,8.75,,,3.1818181818181817,144.9318181818182
2020-12-18 13:58:47,3.0,17.5,,,7.5,75.0,8.75,,,3.1818181818181817,114.9318181818182
2020-12-18 13:58:48,3.0,17.5,,,7.5,75.0,8.75,,,3.1818181818181817,114.9318181818182
2020-12-18 13:58:49,3.0,17.5,,,7.5,75.0,8.75,,,3.1818181818181817,114.9318181818182
2020-12-18 13:58:50,3.0,17.5,,,7.5,75.0,8.75,,,3.1818181818181817,114.9318181818182
2020-12-18 13:58:51,3.0,17.5,,,7.5,75.0,8.75,,,3.1818181818181817,114.9318181818182
2020-12-18 13:58:52,3.0,17.5,,,7.5,75.0,8.75,,,3.1818181818181817,114.9318181818182
2020-12-18 13:58:53,3.0,17.5,,,7.5,75.0,8.75,,,3.1818181818181817,114.9318181818182
2020-12-18 13:58:54,3.0,17.5,,,7.5,75.0,8.75,,,3.1818181818181817,114.9318181818182
2020-12-18 13:58:55,3.0,17.5,,,7.5,75.0,5.0,,,3.1818181818181817,111.1818181818182
