Time,redis-cart,paymentservice,shippingservice,emailservice,adservice,currencyservice,frontend,productcatalogservice,checkoutservice,cartservice,recommendationservice,Total
2020-11-10 19:11:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0
2020-11-10 19:12:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0
2020-11-10 19:13:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0
2020-11-10 19:14:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0
2020-11-10 19:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0
2020-11-10 19:16:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0
2020-11-10 19:17:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0
2020-11-10 19:18:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0
2020-11-10 19:19:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0
2020-11-10 19:20:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0
2020-11-10 19:21:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0
2020-11-10 19:22:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0
2020-11-10 19:23:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0
2020-11-10 19:24:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0
2020-11-10 19:25:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0
2020-11-10 19:26:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0
2020-11-10 19:27:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0
2020-11-10 19:28:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0
2020-11-10 19:29:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0
2020-11-10 19:30:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0
2020-11-10 19:31:00,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,17.0
2020-11-10 19:32:00,1.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,1.0,1.0,2.0,18.0
2020-11-10 19:33:00,1.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,1.0,1.0,2.0,18.0
2020-11-10 19:34:00,1.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,1.0,1.0,2.0,18.0
2020-11-10 19:35:00,1.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,1.0,1.0,2.0,18.0
2020-11-10 19:36:00,1.0,1.0,1.0,1.0,1.0,2.0,5.0,3.0,1.0,1.0,2.0,19.0
2020-11-10 19:37:00,1.0,1.0,1.0,1.0,1.0,2.0,5.0,3.0,1.0,1.0,2.0,19.0
2020-11-10 19:38:00,1.0,1.0,1.0,1.0,1.0,2.0,5.0,3.0,1.0,1.0,2.0,19.0
2020-11-10 19:39:00,1.0,1.0,1.0,1.0,1.0,2.0,5.0,3.0,1.0,1.0,2.0,19.0
2020-11-10 19:40:00,1.0,1.0,1.0,1.0,1.0,2.0,5.0,3.0,1.0,1.0,2.0,19.0
2020-11-10 19:41:00,1.0,1.0,1.0,1.0,1.0,3.0,5.0,3.0,2.0,1.0,3.0,22.0
2020-11-10 19:42:00,1.0,1.0,1.0,1.0,1.0,3.0,5.0,3.0,2.0,1.0,3.0,22.0
2020-11-10 19:43:00,1.0,1.0,1.0,1.0,1.0,3.0,5.0,4.0,2.0,1.0,3.0,23.0
2020-11-10 19:44:00,1.0,1.0,1.0,1.0,1.0,3.0,6.0,4.0,2.0,1.0,3.0,24.0
2020-11-10 19:45:00,1.0,1.0,1.0,1.0,1.0,3.0,6.0,4.0,2.0,1.0,3.0,24.0
2020-11-10 19:46:00,1.0,1.0,1.0,1.0,1.0,3.0,6.0,4.0,2.0,1.0,3.0,24.0
2020-11-10 19:47:00,1.0,1.0,1.0,1.0,1.0,3.0,6.0,4.0,2.0,1.0,3.0,24.0
2020-11-10 19:48:00,1.0,1.0,1.0,1.0,1.0,3.0,6.0,4.0,2.0,1.0,3.0,24.0
2020-11-10 19:49:00,1.0,1.0,1.0,1.0,1.0,3.0,6.0,4.0,2.0,1.0,3.0,24.0
2020-11-10 19:50:00,1.0,1.0,1.0,1.0,1.0,3.0,6.0,4.0,2.0,1.0,3.0,24.0
2020-11-10 19:51:00,1.0,1.0,1.0,1.0,1.0,3.0,6.0,4.0,2.0,1.0,3.0,24.0
2020-11-10 19:52:00,1.0,1.0,1.0,1.0,1.0,3.0,6.0,4.0,2.0,1.0,3.0,24.0
2020-11-10 19:53:00,1.0,1.0,1.0,1.0,1.0,3.0,6.0,4.0,2.0,1.0,3.0,24.0
2020-11-10 19:54:00,1.0,1.0,1.0,1.0,1.0,3.0,6.0,4.0,2.0,1.0,3.0,24.0
2020-11-10 19:55:00,1.0,1.0,1.0,1.0,1.0,3.0,6.0,4.0,2.0,1.0,3.0,24.0
2020-11-10 19:56:00,1.0,1.0,1.0,1.0,1.0,3.0,6.0,4.0,2.0,1.0,3.0,24.0
2020-11-10 19:57:00,1.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,2.0,1.0,3.0,25.0
2020-11-10 19:58:00,1.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,2.0,1.0,3.0,25.0
2020-11-10 19:59:00,1.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,2.0,1.0,3.0,25.0
2020-11-10 20:00:00,1.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,2.0,1.0,3.0,25.0
2020-11-10 20:01:00,1.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,2.0,1.0,3.0,25.0
2020-11-10 20:02:00,1.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,2.0,1.0,3.0,25.0
2020-11-10 20:03:00,1.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,2.0,1.0,3.0,25.0
2020-11-10 20:04:00,1.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,2.0,1.0,3.0,25.0
2020-11-10 20:05:00,1.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,2.0,1.0,3.0,25.0
2020-11-10 20:06:00,1.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,2.0,1.0,3.0,25.0
2020-11-10 20:07:00,1.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,2.0,1.0,3.0,25.0
2020-11-10 20:08:00,1.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,2.0,1.0,3.0,25.0
2020-11-10 20:09:00,1.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,2.0,1.0,3.0,25.0
2020-11-10 20:10:00,1.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,2.0,1.0,3.0,25.0
2020-11-10 20:11:00,1.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,2.0,1.0,3.0,25.0
2020-11-10 20:12:00,1.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,2.0,1.0,3.0,25.0
2020-11-10 20:13:00,1.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,2.0,1.0,3.0,25.0
2020-11-10 20:14:00,1.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,2.0,1.0,3.0,25.0
2020-11-10 20:15:00,1.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,2.0,1.0,3.0,25.0
2020-11-10 20:16:00,1.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,2.0,1.0,3.0,25.0
2020-11-10 20:17:00,1.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,2.0,1.0,3.0,25.0
2020-11-10 20:18:00,1.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,2.0,1.0,3.0,25.0
2020-11-10 20:19:00,1.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,2.0,1.0,3.0,25.0
2020-11-10 20:20:00,1.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,2.0,1.0,3.0,25.0
2020-11-10 20:21:00,1.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,2.0,1.0,3.0,25.0
2020-11-10 20:22:00,1.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,2.0,1.0,3.0,25.0
2020-11-10 20:23:00,1.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,2.0,1.0,3.0,25.0
2020-11-10 20:24:00,1.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,2.0,1.0,3.0,25.0
2020-11-10 20:25:00,1.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,2.0,1.0,3.0,25.0
2020-11-10 20:26:00,1.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,2.0,1.0,3.0,25.0
2020-11-10 20:27:00,1.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,2.0,1.0,3.0,25.0
2020-11-10 20:28:00,1.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,2.0,1.0,3.0,25.0
2020-11-10 20:29:00,1.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,2.0,1.0,3.0,25.0
2020-11-10 20:30:00,1.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,2.0,1.0,3.0,25.0
2020-11-10 20:31:00,1.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,2.0,1.0,3.0,25.0
2020-11-10 20:32:00,1.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,2.0,1.0,3.0,25.0
2020-11-10 20:33:00,1.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,2.0,1.0,3.0,25.0
2020-11-10 20:34:00,1.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,2.0,1.0,3.0,25.0
2020-11-10 20:35:00,1.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,2.0,1.0,3.0,25.0
2020-11-10 20:36:00,1.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,2.0,1.0,3.0,25.0
2020-11-10 20:37:00,1.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,2.0,1.0,3.0,25.0
2020-11-10 20:38:00,1.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,2.0,1.0,3.0,25.0
2020-11-10 20:39:00,1.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,2.0,1.0,3.0,25.0
2020-11-10 20:40:00,1.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,1.0,1.0,3.0,24.0
2020-11-10 20:41:00,1.0,1.0,1.0,1.0,1.0,3.0,6.0,4.0,1.0,1.0,3.0,23.0
2020-11-10 20:42:00,1.0,1.0,1.0,1.0,1.0,3.0,6.0,4.0,1.0,1.0,3.0,23.0
2020-11-10 20:43:00,1.0,1.0,1.0,1.0,1.0,3.0,6.0,4.0,1.0,1.0,3.0,23.0
2020-11-10 20:44:00,1.0,1.0,1.0,1.0,1.0,3.0,6.0,4.0,1.0,1.0,3.0,23.0
2020-11-10 20:45:00,1.0,1.0,1.0,1.0,1.0,3.0,6.0,4.0,1.0,1.0,3.0,23.0
2020-11-10 20:46:00,1.0,1.0,1.0,1.0,1.0,3.0,6.0,4.0,1.0,1.0,3.0,23.0
2020-11-10 20:47:00,1.0,1.0,1.0,1.0,1.0,3.0,6.0,4.0,1.0,1.0,3.0,23.0
2020-11-10 20:48:00,1.0,1.0,1.0,1.0,1.0,3.0,6.0,4.0,1.0,1.0,2.0,22.0
2020-11-10 20:49:00,1.0,1.0,1.0,1.0,1.0,3.0,6.0,4.0,1.0,1.0,2.0,22.0
2020-11-10 20:50:00,1.0,1.0,1.0,1.0,1.0,3.0,6.0,4.0,1.0,1.0,2.0,22.0
2020-11-10 20:51:00,1.0,1.0,1.0,1.0,1.0,3.0,6.0,4.0,1.0,1.0,2.0,22.0
2020-11-10 20:52:00,1.0,1.0,1.0,1.0,1.0,3.0,6.0,4.0,1.0,1.0,2.0,22.0
2020-11-10 20:53:00,1.0,1.0,1.0,1.0,1.0,3.0,6.0,4.0,1.0,1.0,2.0,22.0
2020-11-10 20:54:00,1.0,1.0,1.0,1.0,1.0,3.0,6.0,4.0,1.0,1.0,2.0,22.0
2020-11-10 20:55:00,1.0,1.0,1.0,1.0,1.0,3.0,6.0,4.0,1.0,1.0,2.0,22.0
2020-11-10 20:56:00,1.0,1.0,1.0,1.0,1.0,3.0,5.0,4.0,1.0,1.0,2.0,21.0
2020-11-10 20:57:00,1.0,1.0,1.0,1.0,1.0,3.0,5.0,4.0,1.0,1.0,2.0,21.0
2020-11-10 20:58:00,1.0,1.0,1.0,1.0,1.0,3.0,5.0,4.0,1.0,1.0,2.0,21.0
2020-11-10 20:59:00,1.0,1.0,1.0,1.0,1.0,3.0,5.0,4.0,1.0,1.0,2.0,21.0
2020-11-10 21:00:00,1.0,1.0,1.0,1.0,1.0,3.0,5.0,4.0,1.0,1.0,2.0,21.0
2020-11-10 21:01:00,1.0,1.0,1.0,1.0,1.0,2.0,5.0,4.0,1.0,1.0,2.0,20.0
2020-11-10 21:02:00,1.0,1.0,1.0,1.0,1.0,2.0,5.0,3.0,1.0,1.0,2.0,19.0
2020-11-10 21:03:00,1.0,1.0,1.0,1.0,1.0,2.0,5.0,3.0,1.0,1.0,2.0,19.0
2020-11-10 21:04:00,1.0,1.0,1.0,1.0,1.0,2.0,5.0,3.0,1.0,1.0,2.0,19.0
2020-11-10 21:05:00,1.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,2.0,18.0
2020-11-10 21:06:00,1.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,2.0,18.0
2020-11-10 21:07:00,1.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,2.0,18.0
2020-11-10 21:08:00,1.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,2.0,18.0
2020-11-10 21:09:00,1.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,2.0,18.0
2020-11-10 21:10:00,1.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,17.0
2020-11-10 21:11:00,1.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,17.0
2020-11-10 21:12:00,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,16.0
2020-11-10 21:13:00,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,16.0
2020-11-10 21:14:00,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,15.0
2020-11-10 21:15:00,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,14.0
2020-11-10 21:16:00,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,14.0
2020-11-10 21:17:00,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,14.0
2020-11-10 21:18:00,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,14.0
2020-11-10 21:19:00,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,13.0
2020-11-10 21:20:00,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,13.0
2020-11-10 21:21:00,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,13.0
2020-11-10 21:22:00,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,12.0
2020-11-10 21:23:00,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,12.0
2020-11-10 21:24:00,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,12.0
2020-11-10 21:25:00,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,12.0
2020-11-10 21:26:00,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,12.0
2020-11-10 21:27:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0
2020-11-10 21:28:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0
